epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,252.372,2.59979,3.12159,0.00473,0.27625,0.15367,0.10884,0.04631,2.58981,2.08276,0.00529,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,440.154,2.4823,2.27509,0.00417,0.24118,0.19649,0.15747,0.07293,2.45699,1.91254,0.00479,0.0198542,0.00661806,0.0198542,0.00661806,0.0198542,0.00661806,0.0198542,0.00661806
3,617.546,2.47515,2.14524,0.00409,0.23507,0.22249,0.17348,0.07765,2.48664,1.89462,0.00484,0.0295903,0.00986343,0.0295903,0.00986343,0.0295903,0.00986343,0.0295903,0.00986343
4,790.416,2.45404,2.05602,0.00406,0.27715,0.22046,0.19154,0.09361,2.39627,1.79263,0.00453,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,961.052,2.42836,1.99107,0.00397,0.32887,0.22533,0.20404,0.09861,2.40459,1.78755,0.00462,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1131.87,2.41684,1.94482,0.00388,0.30119,0.23782,0.20681,0.10049,2.36219,1.74731,0.00449,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1305.88,2.38933,1.90874,0.00385,0.31082,0.23337,0.21535,0.10438,2.37217,1.72499,0.00447,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1486.85,2.38179,1.88716,0.00382,0.31983,0.25454,0.22852,0.11326,2.32851,1.69144,0.00444,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1663.15,2.36973,1.86926,0.00382,0.31573,0.25656,0.22799,0.11692,2.26162,1.70447,0.00419,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1833.3,2.3621,1.84066,0.00375,0.32608,0.25017,0.22843,0.11063,2.36097,1.70659,0.00438,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1981.18,2.35173,1.83031,0.0037,0.34687,0.25596,0.23233,0.11645,2.30735,1.72202,0.00441,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2130.41,2.34445,1.80808,0.00372,0.33785,0.25892,0.24135,0.12034,2.30126,1.67632,0.00435,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2278.33,2.33893,1.8029,0.00366,0.33302,0.25739,0.23754,0.11914,2.29473,1.67526,0.00425,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2425.33,2.32268,1.78636,0.00366,0.34981,0.26269,0.24894,0.12182,2.30799,1.67712,0.0043,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2591.24,2.32483,1.76869,0.00361,0.33953,0.27548,0.25079,0.12443,2.28714,1.6385,0.0042,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2760.37,2.3116,1.76357,0.00361,0.34886,0.27055,0.25066,0.12867,2.24482,1.63572,0.00418,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2926.7,2.30132,1.75565,0.00362,0.36378,0.26958,0.25565,0.1303,2.23154,1.6159,0.00404,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3092.84,2.29779,1.74407,0.00355,0.35183,0.27387,0.25496,0.13066,2.23424,1.61434,0.00406,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3259.68,2.28629,1.73544,0.00358,0.3644,0.28444,0.26605,0.13827,2.2062,1.59936,0.00402,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3430.15,2.28394,1.73251,0.00357,0.35866,0.28285,0.26367,0.13175,2.26667,1.61106,0.00414,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3608.47,2.27809,1.71656,0.00353,0.36482,0.27801,0.26521,0.13568,2.1987,1.57629,0.004,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3788.04,2.27917,1.71671,0.00353,0.37378,0.27229,0.26201,0.13572,2.20335,1.60435,0.00404,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3967.09,2.27582,1.712,0.00353,0.35833,0.28696,0.26545,0.13759,2.19815,1.59054,0.00398,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4146.73,2.26858,1.7052,0.0035,0.36393,0.28734,0.27021,0.13877,2.22396,1.60317,0.00404,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4326.71,2.25618,1.69374,0.00351,0.38475,0.28136,0.27293,0.13948,2.22208,1.58074,0.00406,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4503.68,2.25398,1.68322,0.00349,0.37065,0.2844,0.26974,0.13851,2.23512,1.58769,0.00412,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,4681.71,2.25953,1.69673,0.00348,0.37318,0.29206,0.27561,0.13953,2.22498,1.56258,0.0041,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,4860.23,2.25225,1.67107,0.00344,0.36637,0.2865,0.27083,0.14177,2.18288,1.56897,0.00394,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,5039.64,2.2498,1.66897,0.00343,0.36691,0.28443,0.27234,0.14034,2.20739,1.58646,0.00403,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,5214.55,2.2461,1.66586,0.00343,0.38734,0.28809,0.28141,0.14847,2.15299,1.54781,0.00385,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5393.6,2.24377,1.66956,0.00344,0.38159,0.29031,0.28209,0.14653,2.20083,1.55179,0.00402,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,5570.98,2.24801,1.66122,0.00343,0.38968,0.29168,0.28487,0.15096,2.15297,1.55395,0.00386,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,5748.71,2.23745,1.65579,0.00341,0.38371,0.29886,0.28688,0.14441,2.241,1.543,0.00413,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5928.81,2.2414,1.65031,0.0034,0.37033,0.29491,0.28097,0.14779,2.17924,1.5419,0.00394,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6110.73,2.22642,1.64115,0.00339,0.37783,0.30587,0.28854,0.15002,2.18139,1.53497,0.00396,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6290.27,2.22554,1.64102,0.00338,0.39682,0.28849,0.28712,0.15174,2.16502,1.54196,0.0039,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6469.73,2.22523,1.64235,0.00338,0.38124,0.30342,0.28889,0.15249,2.15285,1.53628,0.00384,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,6649.21,2.22306,1.6358,0.00338,0.38371,0.30922,0.29525,0.15461,2.16687,1.5332,0.00391,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,6829.5,2.223,1.62915,0.00336,0.39525,0.29874,0.29384,0.15361,2.17421,1.53712,0.0039,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,7011.31,2.21267,1.62363,0.00336,0.37965,0.31143,0.29525,0.15127,2.19231,1.5169,0.00399,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,7191.78,2.20571,1.61526,0.00334,0.39682,0.30092,0.29361,0.15418,2.16884,1.51456,0.00389,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,7375.75,2.21482,1.62201,0.00334,0.3851,0.30528,0.29433,0.15641,2.14633,1.51756,0.00386,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,7558,2.21824,1.61572,0.00333,0.39085,0.30752,0.29615,0.15528,2.15483,1.52266,0.00386,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,7731.16,2.20728,1.60952,0.00333,0.397,0.30913,0.29862,0.15775,2.14426,1.50976,0.00381,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,7903.09,2.2046,1.61041,0.0033,0.38904,0.30916,0.29615,0.15313,2.18284,1.51587,0.00393,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,8075.38,2.20384,1.60831,0.00332,0.39188,0.30872,0.29708,0.15486,2.15525,1.50445,0.0039,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,8249.83,2.202,1.60845,0.0033,0.40683,0.30556,0.3006,0.1563,2.15948,1.51258,0.00389,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
