epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,474.731,1.47947,1.35126,0.97174,0.44285,0.3148,0.31523,0.18856,1.34735,0.99873,0.91255,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127
2,870.225,1.50111,1.12596,0.95223,0.4371,0.32593,0.32212,0.19054,1.37311,1.02472,0.92278,0.0197959,0.00659863,0.0197959,0.00659863,0.0197959,0.00659863,0.0197959,0.00659863
3,1246.46,1.56578,1.15401,0.96206,0.41762,0.31602,0.31249,0.17709,1.46712,1.04653,0.93984,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998
4,1617.32,1.56838,1.15436,0.9686,0.42754,0.32352,0.32308,0.18839,1.41438,1.02873,0.93314,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1989.31,1.52062,1.09782,0.95713,0.45973,0.32865,0.33946,0.19705,1.39484,0.98951,0.92827,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2360.88,1.49783,1.06615,0.94732,0.46232,0.35369,0.35669,0.20888,1.3684,0.97463,0.9228,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2732.03,1.4675,1.03028,0.94005,0.46749,0.35494,0.35485,0.20881,1.35224,0.96455,0.91419,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3100.77,1.44208,1.00503,0.93377,0.47402,0.37106,0.37537,0.22486,1.34233,0.93337,0.91357,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3470.06,1.42861,0.98957,0.92974,0.48376,0.37071,0.37992,0.22607,1.31921,0.92632,0.90835,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3839.78,1.40722,0.9624,0.92269,0.50407,0.37666,0.39203,0.23341,1.31307,0.90471,0.90401,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4209.19,1.40648,0.95002,0.91919,0.49456,0.38633,0.39382,0.23425,1.31076,0.90925,0.90467,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4579.64,1.38331,0.93445,0.91935,0.50754,0.38947,0.40559,0.24195,1.29638,0.897,0.8999,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4950.2,1.38089,0.92248,0.9127,0.52873,0.3885,0.40746,0.24314,1.28522,0.88365,0.89739,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5320.15,1.37157,0.91055,0.91192,0.52775,0.39008,0.41074,0.24553,1.2885,0.87982,0.89775,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5689.66,1.35994,0.89868,0.90739,0.51151,0.41032,0.41797,0.25147,1.26616,0.87101,0.89363,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6058.86,1.35093,0.89218,0.9072,0.52989,0.4,0.41744,0.24939,1.27435,0.87916,0.89498,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6427.59,1.34631,0.88213,0.90655,0.51595,0.40799,0.42289,0.25446,1.26831,0.86076,0.8933,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6796.94,1.33586,0.87222,0.90113,0.52746,0.40436,0.42057,0.25433,1.26349,0.86091,0.89188,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7165.68,1.32556,0.86063,0.90255,0.53669,0.41534,0.42658,0.25746,1.25977,0.85356,0.89184,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7534.96,1.32677,0.85746,0.90055,0.52731,0.41683,0.43306,0.25951,1.26362,0.85515,0.89181,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7904.01,1.31779,0.84769,0.89909,0.54224,0.40522,0.42638,0.25596,1.25481,0.85297,0.89018,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8272.46,1.31229,0.84388,0.89527,0.5522,0.40657,0.43249,0.26308,1.25837,0.84489,0.89163,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,8641.72,1.30062,0.83167,0.89687,0.55493,0.41802,0.43848,0.26585,1.24845,0.84847,0.88729,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9011.6,1.29793,0.82574,0.89491,0.54075,0.42053,0.44004,0.26716,1.24552,0.8332,0.8876,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
