epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.02,1.95929,2.4209,1.05378,0.27389,0.16916,0.12759,0.06788,1.78237,1.51655,0.98516,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767
2,230.44,1.89023,1.64899,0.99938,0.24928,0.19259,0.16544,0.08874,1.76805,1.43238,0.97344,0.0197852,0.00659506,0.0197852,0.00659506,0.0197852,0.00659506,0.0197852,0.00659506
3,313.699,1.91666,1.59268,0.99731,0.26302,0.21397,0.17833,0.09517,1.77378,1.40704,0.97057,0.0293894,0.00979645,0.0293894,0.00979645,0.0293894,0.00979645,0.0293894,0.00979645
4,395.143,1.88818,1.54541,0.99385,0.27103,0.22856,0.19868,0.10565,1.70648,1.35708,0.96912,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,476.954,1.84022,1.47617,0.98219,0.28765,0.23703,0.20703,0.11163,1.70003,1.3284,0.95594,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,563.937,1.80955,1.41943,0.97119,0.30928,0.2489,0.22136,0.12075,1.65476,1.27538,0.94588,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,648.568,1.77921,1.37933,0.96571,0.29845,0.23422,0.21194,0.11761,1.68269,1.28755,0.94637,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,744.275,1.76361,1.36038,0.95904,0.30759,0.25626,0.2247,0.1249,1.62511,1.25938,0.94467,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,841.811,1.73434,1.33083,0.95549,0.32981,0.25874,0.23662,0.12774,1.65651,1.24903,0.9451,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,942.014,1.73164,1.3161,0.95158,0.3399,0.26542,0.24593,0.13498,1.59892,1.20219,0.93364,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1038.5,1.71239,1.2935,0.94935,0.33221,0.27079,0.24777,0.13665,1.59146,1.20175,0.93004,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1132.85,1.70184,1.28043,0.94616,0.3607,0.26953,0.25021,0.13657,1.60607,1.19863,0.93032,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1224.48,1.68984,1.25942,0.94245,0.35548,0.27665,0.26048,0.14458,1.57255,1.17517,0.92489,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1315.54,1.68762,1.25875,0.94226,0.37439,0.2842,0.2683,0.14795,1.57053,1.15726,0.92301,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
