epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,139.269,1.93533,2.39102,1.03991,0.30132,0.15865,0.13228,0.06964,1.76197,1.51785,0.97875,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767
2,235.992,1.85721,1.6062,0.99164,0.262,0.21708,0.18197,0.09735,1.71276,1.39062,0.9587,0.0197852,0.00659506,0.0197852,0.00659506,0.0197852,0.00659506,0.0197852,0.00659506
3,317.905,1.88186,1.54723,0.99099,0.2672,0.21818,0.17642,0.09505,1.75216,1.44371,0.97032,0.0293894,0.00979645,0.0293894,0.00979645,0.0293894,0.00979645,0.0293894,0.00979645
4,387.112,1.84953,1.50207,0.98776,0.30058,0.22369,0.20757,0.11175,1.68078,1.36659,0.96077,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,457.055,1.79965,1.42992,0.97563,0.30837,0.24822,0.22226,0.1202,1.64982,1.2893,0.94716,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,530.16,1.77083,1.37436,0.96579,0.32435,0.25254,0.23204,0.12744,1.62172,1.25943,0.93797,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,602.118,1.73822,1.33256,0.95981,0.32267,0.25015,0.23452,0.12796,1.65871,1.22778,0.945,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,672.246,1.7235,1.31409,0.95354,0.35381,0.27065,0.25325,0.14102,1.58193,1.19156,0.9334,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,741.167,1.69079,1.28148,0.94865,0.35408,0.2703,0.259,0.14276,1.59238,1.18743,0.9314,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,810.531,1.69057,1.26863,0.94597,0.36796,0.27599,0.26099,0.14287,1.56584,1.18045,0.93186,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
